Date,Open,High,Low,Close,Volume,Company,Ticker
2023-01-02,183.35561477645572,183.77551028328767,182.18923045853936,183.37893676757812,5559512,Wipro,WIPRO.NS
2023-01-03,183.3789328364186,185.57174100232933,182.74909670871764,185.24514770507812,5994422,Wipro,WIPRO.NS
2023-01-04,185.45510766118835,185.45510766118835,181.30278231211557,181.8159942626953,8926522,Wipro,WIPRO.NS
2023-01-05,181.95594765048168,182.9823715119509,179.03998695095473,180.50962829589844,9568980,Wipro,WIPRO.NS
2023-01-06,180.55626374888794,181.39605462922913,177.94356044392217,178.22349548339844,8484754,Wipro,WIPRO.NS
2023-01-09,180.0897248760019,183.35560071572212,179.6698294013699,182.7957305908203,7347432,Wipro,WIPRO.NS
2023-01-10,182.88906104928918,183.77551028328767,180.71958906558265,183.37893676757812,7879496,Wipro,WIPRO.NS
2023-01-11,183.3555932788338,184.75525429622948,182.65576277013596,183.75216674804688,7656600,Wipro,WIPRO.NS
2023-01-12,184.6386273073455,185.6417149176198,182.18922037528344,184.05543518066406,9510500,Wipro,WIPRO.NS
2023-01-13,184.755263042701,185.0351981070501,180.32300294445437,183.77549743652344,13621860,Wipro,WIPRO.NS
2023-01-16,181.9559428312212,187.08803352646075,181.48938913165395,185.9683074951172,23867444,Wipro,WIPRO.NS
2023-01-17,186.6448040085918,187.57791141868466,183.7055213620349,184.91856384277344,14310032,Wipro,WIPRO.NS
2023-01-18,185.9216481073577,188.41771323195002,185.6883712590423,188.1144561767578,16080426,Wipro,WIPRO.NS
2023-01-19,187.60124954441525,188.48769874535228,186.03829176908224,188.207763671875,9447456,Wipro,WIPRO.NS
2023-01-20,188.27774412481162,189.14087133661505,187.22799827647782,188.09112548828125,9265614,Wipro,WIPRO.NS
2023-01-23,189.04756863792804,190.23727490099407,187.7878679280199,189.88735961914062,8815290,Wipro,WIPRO.NS
2023-01-24,191.00984343990316,191.85171714417572,189.48980915866605,190.16798400878906,9552640,Wipro,WIPRO.NS
2023-01-25,189.41965661168612,189.84058632730262,187.0811423325295,187.8060760498047,6355554,Wipro,WIPRO.NS
2023-01-27,187.80607312913207,188.76487253257056,184.36846861075864,186.1691131591797,7410134,Wipro,WIPRO.NS
2023-01-30,186.1691109777409,189.32610516851412,184.76600244850837,188.1334686279297,7261256,Wipro,WIPRO.NS
2023-01-31,188.15685549302887,188.27378120841684,186.00543374841746,186.5432891845703,9566846,Wipro,WIPRO.NS
2023-02-01,187.7826988194839,188.9051828320172,186.30943766096152,188.20362854003906,7029896,Wipro,WIPRO.NS
2023-02-02,188.2036322438391,191.75817691444598,188.2036322438391,191.50094604492188,10835460,Wipro,WIPRO.NS
2023-02-03,192.95080107069683,193.1612730581105,189.9575057471882,190.77598571777344,8850236,Wipro,WIPRO.NS
2023-02-06,189.60672805694918,189.98089889200642,187.82946297819063,189.25595092773438,5958022,Wipro,WIPRO.NS
2023-02-07,189.6535013796536,189.6535013796536,186.63681235621345,187.3149871826172,6683580,Wipro,WIPRO.NS
2023-02-08,187.54885239650957,190.63569421826597,187.54885239650957,190.23814392089844,8300976,Wipro,WIPRO.NS
2023-02-09,190.23812479940838,191.26707672762333,188.7414700443971,190.9630584716797,5277374,Wipro,WIPRO.NS
2023-02-10,190.3550724081829,190.3550724081829,188.39071460035814,189.7938232421875,5160140,Wipro,WIPRO.NS
2023-02-13,189.72366438957843,189.72366438957843,186.70698947331798,187.3617706298828,4825356,Wipro,WIPRO.NS
2023-02-14,188.48425180745647,190.0978323771063,187.78269752033194,189.4664306640625,4638822,Wipro,WIPRO.NS
2023-02-15,188.34394986883643,190.75261677437803,187.24484527897997,190.54214477539062,5227672,Wipro,WIPRO.NS
2023-02-16,191.19693449214034,193.27821804850842,191.0800087703929,191.71141052246094,11189362,Wipro,WIPRO.NS
2023-02-17,190.28489403914466,190.82274942431212,188.95193815544633,190.02764892578125,5616244,Wipro,WIPRO.NS
2023-02-20,189.55996845969187,190.72922564060082,188.11010097389197,190.37844848632812,6497188,Wipro,WIPRO.NS
2023-02-21,190.54215568492523,190.82278027525606,188.06333606218206,188.36734008789062,5761172,Wipro,WIPRO.NS
2023-02-22,186.84728486999234,187.24483513924093,184.48539123358978,184.81277465820312,6883372,Wipro,WIPRO.NS
2023-02-23,185.11677998073148,186.4731296471129,183.99429600955213,184.2515411376953,6078322,Wipro,WIPRO.NS
2023-02-24,185.18693363268474,185.44416446934406,183.59673265754932,183.947509765625,5106634,Wipro,WIPRO.NS
2023-02-27,183.69029404215735,183.94752489998044,180.27606895191013,182.56781005859375,5554710,Wipro,WIPRO.NS
2023-02-28,183.26938125124516,183.9007830106504,180.39301131746527,181.02439880371094,10061602,Wipro,WIPRO.NS
2023-03-01,181.51549362207928,183.22260630803277,181.14132274791834,182.84844970703125,4542612,Wipro,WIPRO.NS
2023-03-02,181.79611423623936,182.5678211296639,181.14131878905818,181.49209594726562,4438972,Wipro,WIPRO.NS
2023-03-03,182.68473081792388,183.08228108363787,181.9831765630725,182.6145782470703,4393936,Wipro,WIPRO.NS
2023-03-06,183.5499815315907,185.51432485571692,183.38628268629077,184.15798950195312,6727722,Wipro,WIPRO.NS
2023-03-08,183.17582427394015,183.8072259964988,181.86626196083674,183.62014770507812,4908842,Wipro,WIPRO.NS
2023-03-09,183.71368643495168,184.20478302520016,182.21704577567644,182.45089721679688,4157054,Wipro,WIPRO.NS
2023-03-10,181.42192046413118,182.35732610124776,180.81391250926833,181.98316955566406,4567396,Wipro,WIPRO.NS
2023-03-13,181.9364167526891,183.62014994230722,179.48097668083406,180.2760772705078,5982520,Wipro,WIPRO.NS
2023-03-14,180.79052738362913,181.07115194271225,176.4876698126006,177.4698486328125,8094852,Wipro,WIPRO.NS
