Date,Close,High,Low,Open,Volume,Company,Ticker
,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,,
2023-01-02,2932.7939453125,2937.649919541841,2909.1891553518903,2932.3893356780377,709547,TCS,TCS.NS
2023-01-03,2977.66552734375,2985.4437794959777,2918.2713383650357,2924.296135819554,1245178,TCS,TCS.NS
2023-01-04,2980.6328125,2992.05320982366,2955.049761355759,2973.4839774740417,1231668,TCS,TCS.NS
2023-01-05,2977.44091796875,3001.00070304536,2951.228228425236,2994.6160814211885,1826057,TCS,TCS.NS
2023-01-06,2887.92236328125,2968.8530692467866,2877.5362121079547,2967.4592187363287,2488376,TCS,TCS.NS
2023-01-09,2985.398681640625,2991.7382972331907,2896.5547111423953,2903.613754663653,2885060,TCS,TCS.NS
2023-01-10,2955.2294921875,2965.6606483841506,2904.6030169681453,2953.970657956924,3864655,TCS,TCS.NS
2023-01-11,2993.26708984375,3011.9711192058594,2941.5163554119845,2958.556940867891,2720512,TCS,TCS.NS
2023-01-12,2998.347900390625,3012.4207633052556,2981.442331005253,2993.5369316546853,2250391,TCS,TCS.NS
2023-01-13,3034.496826171875,3038.4983560091237,2971.9553319355296,3006.0360632064353,1742837,TCS,TCS.NS
2023-01-16,3066.225341796875,3083.6530407390187,3033.1172268351675,3050.544925777311,1843607,TCS,TCS.NS
2023-01-17,3107.01318359375,3110.140196457376,3054.2242129347997,3062.501243322157,1688475,TCS,TCS.NS
2023-01-18,3117.681396484375,3135.1090986179565,3101.357253479184,3108.48469619976,2421189,TCS,TCS.NS
2023-01-19,3102.138671875,3114.9219938480996,3091.0105761214827,3108.4843044601644,1585044,TCS,TCS.NS
2023-01-20,3092.9423828125,3121.9577927776777,3086.044857553808,3094.6896660665084,1529349,TCS,TCS.NS
2023-01-23,3140.58056640625,3144.3513027053577,3086.044322440379,3115.841536579629,1067916,TCS,TCS.NS
2023-01-24,3160.26123046875,3174.653972352405,3142.7875050880507,3149.8689173102684,1387863,TCS,TCS.NS
2023-01-25,3154.238037109375,3159.066304386822,3131.4762056585528,3150.145550703775,874110,TCS,TCS.NS
2023-01-27,3137.0400390625,3169.1824569748724,3110.599529591221,3150.789059081809,1785879,TCS,TCS.NS
2023-01-30,3157.824951171875,3180.632813128412,3113.5889568511743,3145.2715449050534,1953798,TCS,TCS.NS
2023-01-31,3088.895263671875,3171.941500962948,3081.8138503122173,3171.941500962948,2820375,TCS,TCS.NS
2023-02-01,3134.55712890625,3144.351523952907,3085.492647809887,3092.8500073277646,2205161,TCS,TCS.NS
2023-02-02,3182.426025390625,3190.3352773194592,3145.3635034639556,3151.7091367465514,1813847,TCS,TCS.NS
2023-02-03,3202.566650390625,3222.523443017251,3175.5282196617327,3222.523443017251,1804469,TCS,TCS.NS
2023-02-06,3182.011962890625,3194.1515611886443,3160.7677220012893,3194.1515611886443,1138714,TCS,TCS.NS
2023-02-07,3193.599609375,3212.4068130598766,3183.3451557440176,3190.242679677012,1455647,TCS,TCS.NS
2023-02-08,3237.330322265625,3255.5396078857866,3198.658155467108,3198.658155467108,1986946,TCS,TCS.NS
2023-02-09,3256.41357421875,3262.621346651852,3223.719261165319,3232.6400151634225,1655427,TCS,TCS.NS
2023-02-10,3253.37841796875,3257.7928785550507,3226.339987208153,3237.238165731009,1187821,TCS,TCS.NS
2023-02-13,3202.65869140625,3263.9088027055695,3194.3816614754664,3263.9088027055695,1087939,TCS,TCS.NS
2023-02-14,3218.937255859375,3241.6990897668875,3214.2468487578135,3223.443549326505,1579818,TCS,TCS.NS
2023-02-15,3237.8359375,3242.756261571135,3182.1959052183624,3206.889133323468,1429449,TCS,TCS.NS
2023-02-16,3272.23193359375,3287.8202954032563,3243.6761347936463,3243.8600238904237,1618931,TCS,TCS.NS
2023-02-17,3219.90234375,3254.6198842343974,3209.648113656855,3242.894092415164,1061369,TCS,TCS.NS
2023-02-20,3207.1650390625,3239.0775411980735,3195.8990822539604,3220.6841423269884,1296082,TCS,TCS.NS
2023-02-21,3173.781005859375,3227.029806293947,3168.0330686566454,3213.326813814157,1139541,TCS,TCS.NS
2023-02-22,3128.303466796875,3170.102422501116,3122.279583519376,3140.626954722956,1218430,TCS,TCS.NS
2023-02-23,3139.5693359375,3175.068461467988,3134.2352052950296,3146.190914704899,1441570,TCS,TCS.NS
2023-02-24,3127.291748046875,3158.100692470088,3110.599827670895,3147.5705160729894,977592,TCS,TCS.NS
2023-02-27,3064.2021484375,3117.6808616060457,3049.6252911757074,3117.6808616060457,1128022,TCS,TCS.NS
2023-02-28,3046.728759765625,3119.52054831469,3034.8188539926205,3061.121505031087,4116217,TCS,TCS.NS
2023-03-01,3113.72705078125,3116.7620070541693,3048.7064188210597,3056.063779711126,1669307,TCS,TCS.NS
2023-03-02,3054.6376953125,3099.1956592623837,3051.464878906557,3091.010686559656,1556538,TCS,TCS.NS
