Date,Close,High,Low,Open,Volume,Company,Ticker
,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,WIPRO.NS,,
2023-01-02,183.37893676757812,183.77551028328767,182.18923045853936,183.35561477645572,5559512,Wipro,WIPRO.NS
2023-01-03,185.24514770507812,185.57174100232933,182.74909670871764,183.3789328364186,5994422,Wipro,WIPRO.NS
2023-01-04,181.8159942626953,185.45510766118835,181.30278231211557,185.45510766118835,8926522,Wipro,WIPRO.NS
2023-01-05,180.50962829589844,182.9823715119509,179.03998695095473,181.95594765048168,9568980,Wipro,WIPRO.NS
2023-01-06,178.22349548339844,181.39605462922913,177.94356044392217,180.55626374888794,8484754,Wipro,WIPRO.NS
2023-01-09,182.7957305908203,183.35560071572212,179.6698294013699,180.0897248760019,7347432,Wipro,WIPRO.NS
2023-01-10,183.37893676757812,183.77551028328767,180.71958906558265,182.88906104928918,7879496,Wipro,WIPRO.NS
2023-01-11,183.75216674804688,184.75525429622948,182.65576277013596,183.3555932788338,7656600,Wipro,WIPRO.NS
2023-01-12,184.05543518066406,185.6417149176198,182.18922037528344,184.6386273073455,9510500,Wipro,WIPRO.NS
2023-01-13,183.77549743652344,185.0351981070501,180.32300294445437,184.755263042701,13621860,Wipro,WIPRO.NS
2023-01-16,185.9683074951172,187.08803352646075,181.48938913165395,181.9559428312212,23867444,Wipro,WIPRO.NS
2023-01-17,184.91856384277344,187.57791141868466,183.7055213620349,186.6448040085918,14310032,Wipro,WIPRO.NS
2023-01-18,188.1144561767578,188.41771323195002,185.6883712590423,185.9216481073577,16080426,Wipro,WIPRO.NS
2023-01-19,188.207763671875,188.48769874535228,186.03829176908224,187.60124954441525,9447456,Wipro,WIPRO.NS
2023-01-20,188.09112548828125,189.14087133661505,187.22799827647782,188.27774412481162,9265614,Wipro,WIPRO.NS
2023-01-23,189.88735961914062,190.23727490099407,187.7878679280199,189.04756863792804,8815290,Wipro,WIPRO.NS
2023-01-24,190.16798400878906,191.85171714417572,189.48980915866605,191.00984343990316,9552640,Wipro,WIPRO.NS
2023-01-25,187.8060760498047,189.84058632730262,187.0811423325295,189.41965661168612,6355554,Wipro,WIPRO.NS
2023-01-27,186.1691131591797,188.76487253257056,184.36846861075864,187.80607312913207,7410134,Wipro,WIPRO.NS
2023-01-30,188.1334686279297,189.32610516851412,184.76600244850837,186.1691109777409,7261256,Wipro,WIPRO.NS
2023-01-31,186.5432891845703,188.27378120841684,186.00543374841746,188.15685549302887,9566846,Wipro,WIPRO.NS
2023-02-01,188.20362854003906,188.9051828320172,186.30943766096152,187.7826988194839,7029896,Wipro,WIPRO.NS
2023-02-02,191.50094604492188,191.75817691444598,188.2036322438391,188.2036322438391,10835460,Wipro,WIPRO.NS
2023-02-03,190.77598571777344,193.1612730581105,189.9575057471882,192.95080107069683,8850236,Wipro,WIPRO.NS
2023-02-06,189.25595092773438,189.98089889200642,187.82946297819063,189.60672805694918,5958022,Wipro,WIPRO.NS
2023-02-07,187.3149871826172,189.6535013796536,186.63681235621345,189.6535013796536,6683580,Wipro,WIPRO.NS
2023-02-08,190.23814392089844,190.63569421826597,187.54885239650957,187.54885239650957,8300976,Wipro,WIPRO.NS
2023-02-09,190.9630584716797,191.26707672762333,188.7414700443971,190.23812479940838,5277374,Wipro,WIPRO.NS
2023-02-10,189.7938232421875,190.3550724081829,188.39071460035814,190.3550724081829,5160140,Wipro,WIPRO.NS
2023-02-13,187.3617706298828,189.72366438957843,186.70698947331798,189.72366438957843,4825356,Wipro,WIPRO.NS
2023-02-14,189.4664306640625,190.0978323771063,187.78269752033194,188.48425180745647,4638822,Wipro,WIPRO.NS
2023-02-15,190.54214477539062,190.75261677437803,187.24484527897997,188.34394986883643,5227672,Wipro,WIPRO.NS
2023-02-16,191.71141052246094,193.27821804850842,191.0800087703929,191.19693449214034,11189362,Wipro,WIPRO.NS
2023-02-17,190.02764892578125,190.82274942431212,188.95193815544633,190.28489403914466,5616244,Wipro,WIPRO.NS
2023-02-20,190.37844848632812,190.72922564060082,188.11010097389197,189.55996845969187,6497188,Wipro,WIPRO.NS
2023-02-21,188.36734008789062,190.82278027525606,188.06333606218206,190.54215568492523,5761172,Wipro,WIPRO.NS
2023-02-22,184.81277465820312,187.24483513924093,184.48539123358978,186.84728486999234,6883372,Wipro,WIPRO.NS
2023-02-23,184.2515411376953,186.4731296471129,183.99429600955213,185.11677998073148,6078322,Wipro,WIPRO.NS
2023-02-24,183.947509765625,185.44416446934406,183.59673265754932,185.18693363268474,5106634,Wipro,WIPRO.NS
2023-02-27,182.56781005859375,183.94752489998044,180.27606895191013,183.69029404215735,5554710,Wipro,WIPRO.NS
2023-02-28,181.02439880371094,183.9007830106504,180.39301131746527,183.26938125124516,10061602,Wipro,WIPRO.NS
2023-03-01,182.84844970703125,183.22260630803277,181.14132274791834,181.51549362207928,4542612,Wipro,WIPRO.NS
2023-03-02,181.49209594726562,182.5678211296639,181.14131878905818,181.79611423623936,4438972,Wipro,WIPRO.NS
2023-03-03,182.6145782470703,183.08228108363787,181.9831765630725,182.68473081792388,4393936,Wipro,WIPRO.NS
